match_id,date,league_code,season,group_id,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,result,model,cutoff,p_home,p_draw,p_away
4057779,2026-05-29,M2,2026,2,Espoon Palloseuran Jalkapallo,Esbo Bollklubb,62296,63411,2,2,D,dc_best,2026-05-25,0.6461049221152921,0.1863183739651039,0.16757670391960405
4057782,2026-05-29,M2,2026,2,Idrottsföreningen Kamraterna i Åbo,Musan Salama,60996,60696,4,2,H,dc_best,2026-05-25,0.9103398931866964,0.05719036979470509,0.0324697370185986
4057689,2026-05-29,M2,2026,1,MYPA,Pepo Lappeenranta,129934,61010,0,0,D,dc_best,2026-05-25,0.25225911802986134,0.19813318838940916,0.5496076935807296
4036902,2026-05-30,VL,2026,1,TPS Juniorijalkapallo,Vaasan Palloseura,60971,60901,1,0,H,dc_best,2026-05-25,0.4187035274095861,0.34244649335543526,0.2388499792349787
4036900,2026-05-30,VL,2026,1,Helsingin Jalkapalloklubin Liiga-HJK,IFK Mariehamn Fotboll,60731,60759,1,0,H,dc_best,2026-05-25,0.7163283586733492,0.18496174148239358,0.09870989984425718
4036901,2026-05-30,VL,2026,1,Kuopion Palloseura,Football Club International Turku,60756,60987,1,1,D,dc_best,2026-05-25,0.3724180947360875,0.3191051925439014,0.3084767127200111
4036904,2026-05-30,VL,2026,1,FC Lahti,Ilves,60969,60745,5,0,H,dc_best,2026-05-25,0.29846735031548055,0.27957508509899576,0.42195756458552375
4036903,2026-05-30,VL,2026,1,IF Gnistan,SEINÄJOEN JALKAPALLOKERHO,60534,60970,3,2,H,dc_best,2026-05-25,0.3832868337885723,0.2530886347357711,0.3636245314756566
4057693,2026-05-31,M2,2026,1,Lahden Reipas,Atlantis FC Edustus,61562,60702,1,0,H,dc_best,2026-05-25,0.6444537371319369,0.1362561219405238,0.2192901409275393
4057873,2026-05-31,M2,2026,3,Idrottsföreningen Kraft,Tornion Pallo-47,60686,60666,1,2,A,dc_best,2026-05-25,0.6185028363054937,0.1468947410566205,0.23460242263788572
4057692,2026-05-31,M2,2026,1,Helsingin Palloseura,Pallo-Pojat Juniorit,49949,48924,2,2,D,dc_best,2026-05-25,0.3818304751836984,0.22949431336334353,0.38867521145295814
4038207,2026-05-31,NL,2026,1,IF Gnistan,Åland United,35209545,60532,1,4,A,dc_best,2026-05-25,0.30159388022008904,0.16041629325746976,0.5379898265224412
4036905,2026-05-31,VL,2026,1,Oulun edustusjalkapallo AC Oulu,Fotbollsföreningen JARO Jalkapalloseura,60493,60974,2,1,H,dc_best,2026-05-25,0.632705411538841,0.23406649581868683,0.1332280926424723
4038087,2026-05-31,M1L,2026,1,Mikkelin Palloilijat,Ekenäs Idrottsförening,60494,60495,1,0,H,dc_best,2026-05-25,0.35978082798582667,0.1855900246137687,0.4546291474004047
4038086,2026-05-31,M1L,2026,1,Pallokerho-35,Helsingin Jalkapalloklubi,50775,60692,1,1,D,dc_best,2026-05-25,0.5468293402210961,0.23992962002951873,0.21324103974938516
4038208,2026-05-31,NL,2026,1,PK-35 Vantaa,Ilves,60671,60776,0,2,A,dc_best,2026-05-25,0.3971545548376287,0.1780758875983994,0.42476955756397206
