league_code,date,week,hg,ag,lam_h,lam_a
M2,2025-09-07,2025-09-01/2025-09-07,1,6,2.7333438899778626,2.1467255355946038
SW-EE,2025-09-07,2025-09-01/2025-09-07,3,1,1.168231899265875,0.740616376709802
SW-ES,2025-09-07,2025-09-01/2025-09-07,1,1,2.1486414915270746,1.1194921728611542
SW-ES,2025-09-07,2025-09-01/2025-09-07,1,1,0.676205783738087,1.2679600681673124
M2,2025-09-08,2025-09-08/2025-09-14,4,1,2.1448572067810185,0.8108496308704045
M2,2025-09-08,2025-09-08/2025-09-14,4,0,2.124110440451546,0.8474315008123942
M2,2025-09-08,2025-09-08/2025-09-14,3,1,1.341739045770564,1.5524525482410951
M2,2025-09-08,2025-09-08/2025-09-14,6,1,5.377236050909812,0.8720001041038634
SW-ES,2025-09-08,2025-09-08/2025-09-14,4,2,1.5222795903721933,1.7986354575761405
M2,2025-09-09,2025-09-08/2025-09-14,2,1,2.0699803651671513,1.2226462393769462
M2,2025-09-09,2025-09-08/2025-09-14,3,2,2.8696807156970814,1.100904661494669
NL,2025-09-10,2025-09-08/2025-09-14,2,0,3.6219582884336905,0.7113121102106243
SW-ES,2025-09-12,2025-09-08/2025-09-14,1,2,2.400169719036467,1.8460667533936208
M1L,2025-09-12,2025-09-08/2025-09-14,1,1,2.225644588904494,1.063945198892293
M1L,2025-09-12,2025-09-08/2025-09-14,2,3,1.8879252877152228,0.7258456404532495
SW-EN,2025-09-12,2025-09-08/2025-09-14,2,0,1.6191671731327173,1.61601981946331
NO-ELI,2025-09-12,2025-09-08/2025-09-14,7,1,3.027690477682441,0.6627705413260703
M1,2025-09-12,2025-09-08/2025-09-14,6,4,2.4630973183774993,1.2353404698177572
M2,2025-09-13,2025-09-08/2025-09-14,2,2,1.7933972824559252,2.82177127135981
M2,2025-09-13,2025-09-08/2025-09-14,0,1,1.4216624499621016,1.5675462740022161
M2,2025-09-13,2025-09-08/2025-09-14,5,1,2.7974885919631225,1.0301967799349685
SW-ES,2025-09-13,2025-09-08/2025-09-14,2,1,2.10409198476206,0.858776233786556
SW-ES,2025-09-13,2025-09-08/2025-09-14,0,1,1.892718408604581,2.1697780910575304
SW-ES,2025-09-13,2025-09-08/2025-09-14,1,5,1.316289960499596,1.350667031593413
SW-ES,2025-09-13,2025-09-08/2025-09-14,0,1,1.3314617042135306,0.5842785179675939
SW-ES,2025-09-13,2025-09-08/2025-09-14,3,0,2.3592454203920084,1.1187901741147686
M2,2025-09-13,2025-09-08/2025-09-14,3,2,0.9461750184027264,2.6348163509375238
M2,2025-09-13,2025-09-08/2025-09-14,8,3,5.958423147546292,0.9715179958040399
M2,2025-09-13,2025-09-08/2025-09-14,0,3,0.9870437010423353,3.046288605009126
VL,2025-09-13,2025-09-08/2025-09-14,3,3,1.936954368136784,2.3361547616868408
